gname,chromosome,orientation,start,end
YJL008C,chrX,-,419956,421663
YJL007C,chrX,-,422697,423012
tM(CAU)J2,chrX,+,422936,423009
YJL006C,chrX,-,423137,424109
tL(UAA)J,chrX,-,424431,424515
YJL005W,chrX,+,425156,431237
YJL004C,chrX,-,431588,432200
YJL003W,chrX,+,432643,433000
YJL002C,chrX,-,433220,434651
YJL001W,chrX,+,435162,435926
YJR001W,chrX,+,436801,438610
YJR002W,chrX,+,438864,440646
YJR003C,chrX,-,440993,442553
YJR004C,chrX,-,442908,444861
YJR005W,chrX,+,445922,448025
YJR005C-A,chrX,-,448476,448758
YJR006W,chrX,+,449201,450665
YJR007W,chrX,+,451019,451934
YJR008W,chrX,+,452429,453446
YJR009C,chrX,-,453682,454681
YJR010W,chrX,+,456238,457774
YJR010C-A,chrX,-,458076,458361
YJR011C,chrX,-,458640,459426
YJR012C,chrX,-,459794,460418
YJR013W,chrX,+,460381,461593
YJR014W,chrX,+,461828,462425
YJR015W,chrX,+,462720,464253
YJR016C,chrX,-,464450,466208
YJR017C,chrX,-,466520,467033
YJR018W,chrX,+,466785,467148
YJR019C,chrX,-,467231,468281
YJR020W,chrX,+,468000,468333
YJR021C,chrX,-,468554,469579
YJR022W,chrX,+,469783,470113
YJR023C,chrX,-,469803,470205
YJR024C,chrX,-,470229,470964
YJR025C,chrX,-,471137,471671
YJR026W,chrX,+,472759,474082
YJR027W,chrX,+,472759,478028
YJR029W,chrX,+,478343,483612
YJR028W,chrX,+,478343,479666
YJR030C,chrX,-,483958,486196
YJR031C,chrX,-,486585,490812
YJR032W,chrX,+,491080,492262
YJR033C,chrX,-,492377,496451
YJR034W,chrX,+,496682,497009
YJR035W,chrX,+,497354,500612
YJR036C,chrX,-,500712,503391
YJR037W,chrX,+,503101,503485
YJR038C,chrX,-,503709,504072
YJR039W,chrX,+,503935,507301
YJR040W,chrX,+,507745,510085
YJR041C,chrX,-,510238,513763
YJR042W,chrX,+,514054,516289
YJR043C,chrX,-,516460,517513
tM(CAU)J3,chrX,-,517812,517884
YJR044C,chrX,-,518762,519185
YJR045C,chrX,-,519637,521602
YJR046W,chrX,+,522047,523862
tS(AGA)J,chrX,-,524011,524093
YJR047C,chrX,-,524907,525381
YJR048W,chrX,+,526334,526664
YJR049C,chrX,-,526883,528476
YJR050W,chrX,+,528696,529404
YJR051W,chrX,+,529860,531366
tG(GCC)J2,chrX,+,531827,531898
YJR052W,chrX,+,532061,533759
YJR053W,chrX,+,534026,535751
YJR054W,chrX,+,536055,537549
tR(CCU)J,chrX,+,538554,538626
YJR055W,chrX,+,538771,539266
tD(GUC)J4,chrX,+,541507,541579
YJR056C,chrX,-,541791,542502
tY(GUA)J2,chrX,-,542955,543044
YJR057W,chrX,+,544061,544712
YJR058C,chrX,-,544731,545175
YJR059W,chrX,+,545786,548243
YJR060W,chrX,+,548758,549814
YJR061W,chrX,+,550510,553318
YJR062C,chrX,-,553475,554849
YJR063W,chrX,+,555194,555572
YJR064W,chrX,+,555913,557602
YJR065C,chrX,-,557808,559158
YJR066W,chrX,+,559415,566828
YJR067C,chrX,-,567018,567444
YJR068W,chrX,+,567642,568704
YJR069C,chrX,-,568805,569399
YJR070C,chrX,-,569620,570598
YJR071W,chrX,+,570404,570773
YJR072C,chrX,-,570966,572124
YJR073C,chrX,-,572314,572935
YJR074W,chrX,+,573094,573751
YJR075W,chrX,+,573980,575171
YJR076C,chrX,-,575353,576601
YJR077C,chrX,-,577254,578190
YJR078W,chrX,+,578859,580221
YJR079W,chrX,+,580204,581239
YJR080C,chrX,-,580431,581616
YJR082C,chrX,-,581913,582255
YJR083C,chrX,-,582607,583537
YJR084W,chrX,+,583732,585004
YJR085C,chrX,-,585119,585437
YJR086W,chrX,+,586067,586400
YJR087W,chrX,+,586399,586750
YJR088C,chrX,-,586494,587373
YJR089W,chrX,+,587717,590582
YJR090C,chrX,-,590871,594327
YJR091C,chrX,-,595060,598336
YJR092W,chrX,+,598734,603078
YJR093C,chrX,-,603219,604203
YJR094C,chrX,-,604568,605651
YJR094W-A,chrX,+,608304,608858
YJR095W,chrX,+,609772,610741
YJR096W,chrX,+,611194,612043
YJR097W,chrX,+,612412,612931
YJR098C,chrX,-,613185,615156
YJR099W,chrX,+,615575,616286
YJR100C,chrX,-,616350,617334
tL(UAG)J,chrX,+,617918,618019
YJR101W,chrX,+,618233,619034
YJR102C,chrX,-,619156,619765
YJR103W,chrX,+,620753,622490
YJR104C,chrX,-,622549,623014
YJR105W,chrX,+,623580,624603
YJR106W,chrX,+,624837,627015
YJR107W,chrX,+,627339,628326
YJR108W,chrX,+,628711,629083
YJR109C,chrX,-,629584,632941
YJR110W,chrX,+,633614,635681
YJR111C,chrX,-,635854,636706
YJR112W,chrX,+,637029,637635
YJR112W-A,chrX,+,637789,638168
YJR113C,chrX,-,638231,638975
YJR114W,chrX,+,638658,639051
YJR115W,chrX,+,639941,640451
YJR116W,chrX,+,640824,641664
YJR117W,chrX,+,642006,643368
YJR118C,chrX,-,643489,644101
YJR119C,chrX,-,644303,646490
YJR120W,chrX,+,647125,647476
YJR121W,chrX,+,647606,649142
YJR122W,chrX,+,649775,651269
YJR123W,chrX,+,651900,652578
YJR124C,chrX,-,652891,654238
YJR125C,chrX,-,654736,655963
YJR126C,chrX,-,656253,658689
YJR127C,chrX,-,658916,663059
YJR128W,chrX,+,662920,663280
snR3,chrX,+,663748,663942
YJR129C,chrX,-,663999,665019
YJR130C,chrX,-,665217,667137
YJR131W,chrX,+,667643,669293
YJR132W,chrX,+,669521,672668
YJR133W,chrX,+,672990,673620
YJR134C,chrX,-,673728,675852
YJR135C,chrX,-,676058,676778
YJR135W-A,chrX,+,676970,677234
YJR136C,chrX,-,677440,678706
YJR137C,chrX,-,678956,683285
YJR138W,chrX,+,684566,689321
YJR139C,chrX,-,689444,690524
YJR140C,chrX,-,690749,695696
YJR140W-A,chrX,+,690960,691110
YJR141W,chrX,+,695905,696949
YJR142W,chrX,+,697140,698169
YJR143C,chrX,-,698325,700614
YJR144W,chrX,+,700881,701691
YJR145C,chrX,-,702026,703068
YJR146W,chrX,+,703884,704238
YJR147W,chrX,+,704195,705272
YJR148W,chrX,+,705743,706874
YJR149W,chrX,+,707159,708374
YJR150C,chrX,-,708810,709707
YJR151C,chrX,-,712254,715740
YJR151W-A,chrX,+,717579,717630
YJR152W,chrX,+,719665,721297
YJR153W,chrX,+,722814,723900
YJR154W,chrX,+,725783,726824
YJR155W,chrX,+,727404,728271
YJR156C,chrX,-,728573,729596
YJR157W,chrX,+,730514,730877
YJR158W,chrX,+,732439,734143
YJR159W,chrX,+,736043,737117
YJR160C,chrX,-,738007,739816
YJR161C,chrX,-,742847,743999
YJR162C,chrX,-,744910,745261
YKL225W,chrXI,+,450,798
YKL224C,chrXI,-,1809,2181
YKL223W,chrXI,+,2388,2721
YKL222C,chrXI,-,3502,5620
YKL221W,chrXI,+,6106,7528
YKL220C,chrXI,-,9090,11226
YKL219W,chrXI,+,14484,15708
YKL218C,chrXI,-,17358,18339
YKL217W,chrXI,+,22233,24084
YKL216W,chrXI,+,25214,26159
YKL215C,chrXI,-,26826,30687
YKL214C,chrXI,-,31081,31693
YKL213C,chrXI,-,31959,34107
YKL212W,chrXI,+,34542,36414
YKL211C,chrXI,-,36698,38153
snR64,chrXI,+,38810,38911
YKL210W,chrXI,+,39162,42237
YKL209C,chrXI,-,42422,46295
tT(CGU)K,chrXI,-,46734,46806
YKL208W,chrXI,+,47156,47972
YKL207W,chrXI,+,48193,48955
YKL206C,chrXI,-,49005,49809
YKL205W,chrXI,+,50050,53353
YKL204W,chrXI,+,53703,55602
YKL203C,chrXI,-,55934,63359
YKL202W,chrXI,+,63820,64402
YKL201C,chrXI,-,63929,67466
YKL198C,chrXI,-,68231,70220
YKL197C,chrXI,-,70733,73865
tN(GUU)K,chrXI,+,74623,74697
YKL196C,chrXI,-,74931,75534
YKL195W,chrXI,+,75820,77032
YKL194C,chrXI,-,77257,78646
YKL193C,chrXI,-,78865,79882
YKL192C,chrXI,-,80159,80537
YKL191W,chrXI,+,81034,82639
YKL190W,chrXI,+,82946,83550
tL(UAA)K,chrXI,+,84207,84291
YKL189W,chrXI,+,84703,85903
YKL188C,chrXI,-,86224,88786
YKL187C,chrXI,-,89283,91536
YKL186C,chrXI,-,92743,93298
YKL185W,chrXI,+,94498,96265
YKL184W,chrXI,+,96756,98157
YKL183C-A,chrXI,-,98394,98607
YKL183W,chrXI,+,98720,99641
YKL182W,chrXI,+,100670,106826
YKL181W,chrXI,+,107315,108599
YKL180W,chrXI,+,109268,110129
YKL179C,chrXI,-,110463,112503
YKL178C,chrXI,-,113214,114627
YKL177W,chrXI,+,114355,114694
YKL176C,chrXI,-,115499,117986
YKL175W,chrXI,+,118792,120304
YKL174C,chrXI,-,120379,122236
YKL173W,chrXI,+,122516,125543
YKL172W,chrXI,+,125758,127042
YKL171W,chrXI,+,127474,130261
YKL170W,chrXI,+,130633,131050
YKL169C,chrXI,-,130684,131068
YKL168C,chrXI,-,131287,133462
YKL167C,chrXI,-,133720,134134
YKL166C,chrXI,-,134508,135705
YKL165C-A,chrXI,-,135789,136023
YKL165C,chrXI,-,137931,140691
tE(UUC)K,chrXI,-,141017,141089
YKL164C,chrXI,-,141793,142819
YKL163W,chrXI,+,144400,145378
YKL162C-A,chrXI,-,145921,146074
YKL162C,chrXI,-,147629,148838
YKL161C,chrXI,-,149385,150687
YKL160W,chrXI,+,153268,153706
YKL159C,chrXI,-,153815,154451
YKL157W,chrXI,+,154990,158232
YKL156W,chrXI,+,158612,159212
YKL156C-A,chrXI,-,158974,159091
YKL155C,chrXI,-,159455,161342
YKL154W,chrXI,+,161600,162335
tR(UCU)K,chrXI,-,162486,162558
YKL153W,chrXI,+,163599,164109
YKL152C,chrXI,-,163641,164385
YKL151C,chrXI,-,164916,165930
YKL150W,chrXI,+,166543,167452
YKL149C,chrXI,-,167611,168829
YKL148C,chrXI,-,169206,171129
YKL147C,chrXI,-,171550,172168
YKL146W,chrXI,+,171782,173861
YKL145W,chrXI,+,174212,175616
YKL145W-A,chrXI,+,174957,175050
YKL144C,chrXI,-,175842,176481
YKL143W,chrXI,+,176780,178172
YKL142W,chrXI,+,178514,179174
YKL141W,chrXI,+,179666,180263
YKL140W,chrXI,+,180778,182425
YKL139W,chrXI,+,182957,184544
YKL138C-A,chrXI,-,184802,185012
YKL138C,chrXI,-,185285,185681
YKL137W,chrXI,+,185956,186292
YKL136W,chrXI,+,186415,186814
YKL135C,chrXI,-,186459,188640
YKL134C,chrXI,-,189123,191442
YKL133C,chrXI,-,191678,193070
YKL132C,chrXI,-,193573,194866
YKL131W,chrXI,+,194477,194999
YKL130C,chrXI,-,195287,196028
YKL129C,chrXI,-,196348,200167
YKL128C,chrXI,-,200883,201771
tK(CUU)K,chrXI,+,202998,203071
YKL127W,chrXI,+,203540,205253
YKL126W,chrXI,+,205706,207749
YKL125W,chrXI,+,208246,210130
YKL124W,chrXI,+,210592,212332
YKL123W,chrXI,+,212042,212423
YKL122C,chrXI,-,212494,212998
YKL121W,chrXI,+,214141,216700
YKL120W,chrXI,+,217343,218318
YKL119C,chrXI,-,218569,219217
YKL118W,chrXI,+,219125,219437
tA(AGC)K1,chrXI,+,219894,219967
YKL117W,chrXI,+,220323,220974
YKL116C,chrXI,-,221343,222900
YKL115C,chrXI,-,222892,223285
YKL114C,chrXI,-,223351,224455
YKL113C,chrXI,-,224726,225875
YKL112W,chrXI,+,226569,228765
YKL111C,chrXI,-,228463,228799
YKL110C,chrXI,-,228938,229880
YKL109W,chrXI,+,232226,233891
YKL108W,chrXI,+,234425,235787
YKL107W,chrXI,+,236140,237070
YKL106C-A,chrXI,-,237146,237266
YKL106W,chrXI,+,237535,238891
YKL105C,chrXI,-,239184,242583
YKL104C,chrXI,-,243219,245373
YKL103C,chrXI,-,246137,247682
YKL102C,chrXI,-,248061,248367
YKL101W,chrXI,+,248919,253476
YKL100C,chrXI,-,253696,255460
YKL100W-A,chrXI,+,254158,254248
YKL099C,chrXI,-,255719,256472
YKL098W,chrXI,+,256769,257843
YKL097C,chrXI,-,258502,258913
YKL096C-B,chrXI,-,259072,259222
YKL096W-A,chrXI,+,259252,259531
YKL096W,chrXI,+,261131,261851
YKL095W,chrXI,+,262276,263113
YKL094W,chrXI,+,263348,264290
YKL093W,chrXI,+,264788,265808
YKL092C,chrXI,-,266144,269459
YKL091C,chrXI,-,269717,270650
YKL090W,chrXI,+,271877,273209
YKL089W,chrXI,+,273393,275043
YKL088W,chrXI,+,275282,276998
YKL087C,chrXI,-,277188,277863
YKL086W,chrXI,+,278280,278664
YKL085W,chrXI,+,279122,280127
YKL084W,chrXI,+,280508,280859
YKL083W,chrXI,+,280920,281535
YKL082C,chrXI,-,281024,282329
YKL081W,chrXI,+,282890,284455
snR38,chrXI,+,283184,283279
YKL080W,chrXI,+,285029,286208
YKL079W,chrXI,+,286602,288573
YKL078W,chrXI,+,288844,291052
YKL077W,chrXI,+,291452,292631
YKL076C,chrXI,-,292837,293221
YKL075C,chrXI,-,292955,294308
YKL074C,chrXI,-,294609,296193
YKL073W,chrXI,+,296429,299075
YKL072W,chrXI,+,299581,301882
tW(CCA)K,chrXI,+,302917,303023
YKL071W,chrXI,+,305113,305884
YKL070W,chrXI,+,306210,306720
YKL069W,chrXI,+,307284,307827
tV(AAC)K1,chrXI,-,308143,308217
YKL068W-A,chrXI,+,309205,309442
YKL068W,chrXI,+,310198,313078
tH(GUG)K,chrXI,-,313400,313472
YKL067W,chrXI,+,314811,315273
YKL066W,chrXI,+,315280,315724
YKL065W-A,chrXI,+,315953,316175
YKL065C,chrXI,-,316436,317057
YKL064W,chrXI,+,317763,320673
YKL063C,chrXI,-,321014,321518
YKL062W,chrXI,+,323227,325120
YKL061W,chrXI,+,325770,326112
YKL060C,chrXI,-,326407,327487
YKL059C,chrXI,-,328117,329443
YKL058W,chrXI,+,330165,330534
YKL057C,chrXI,-,330855,333969
YKL056C,chrXI,-,334411,334915
YKL055C,chrXI,-,335320,336157
YKL054C,chrXI,-,336536,338753
YKL053C-A,chrXI,-,339181,339442
YKL053W,chrXI,+,339571,339946
YKL052C,chrXI,-,339667,340546
YKL051W,chrXI,+,341311,342373
YKL050C,chrXI,-,342851,345620
YKL049C,chrXI,-,346074,346764
YKL048C,chrXI,-,347213,349136
YKL047W,chrXI,+,349462,351013
YKL046C,chrXI,-,351274,352624
YKL045W,chrXI,+,353492,355079
YKL044W,chrXI,+,356321,356642
YKL043W,chrXI,+,356747,357848
YKL042W,chrXI,+,358474,359566
YKL041W,chrXI,+,360142,360817
YKL040C,chrXI,-,361057,361828
YKL039W,chrXI,+,362621,364193
snR69,chrXI,+,364775,364876
YKL038W,chrXI,+,365604,369117
YKL037W,chrXI,+,369364,369721
YKL036C,chrXI,-,369527,369920
YKL035W,chrXI,+,369890,371390
YKL034W,chrXI,+,371828,374105
YKL033W-A,chrXI,+,374504,375215
YKL033W,chrXI,+,375455,378572
tV(AAC)K2,chrXI,+,379679,379753
YKL032C,chrXI,-,380064,381858
YKL031W,chrXI,+,382071,382485
YKL030W,chrXI,+,382497,383103
YKL029C,chrXI,-,382715,384725
YKL028W,chrXI,+,385757,387206
YKL027W,chrXI,+,387561,388905
YKL026C,chrXI,-,389379,389883
YKL025C,chrXI,-,390239,392279
YKL024C,chrXI,-,392525,393140
YKL023C-A,chrXI,-,393145,393373
YKL023W,chrXI,+,393720,394554
YKL022C,chrXI,-,394725,397248
YKL021C,chrXI,-,397343,398750
YKL020C,chrXI,-,398831,402080
YKL019W,chrXI,+,402567,403518
YKL018C-A,chrXI,-,403579,403879
YKL018W,chrXI,+,404101,405091
YKL017C,chrXI,-,405189,407241
YKL016C,chrXI,-,407464,407989
YKL015W,chrXI,+,408543,411483
YKL014C,chrXI,-,411618,416913
YKL013C,chrXI,-,417507,418023
YKL012W,chrXI,+,418309,420061
YKL011C,chrXI,-,420154,421216
YKL010C,chrXI,-,421423,425875
YKL009W,chrXI,+,426241,426952
YKL008C,chrXI,-,427294,428551
YKL007W,chrXI,+,429301,430108
YKL006C-A,chrXI,-,430197,430632
snR87,chrXI,-,431029,431138
YKL006W,chrXI,+,431905,432720
YKL005C,chrXI,-,433092,434877
YKL004W,chrXI,+,435579,436785
YKL003C,chrXI,-,437096,437492
YKL002W,chrXI,+,437777,438544
YKL001C,chrXI,-,438776,439385
YKR001C,chrXI,-,440607,442722
YKR002W,chrXI,+,443231,444938
YKR003W,chrXI,+,445380,446727
YKR004C,chrXI,-,446798,448036
YKR005C,chrXI,-,448520,450167
YKR006C,chrXI,-,450422,451217
YKR007W,chrXI,+,451433,451988
YKR008W,chrXI,+,452200,454078
YKR009C,chrXI,-,454351,457054
tL(CAA)K,chrXI,+,458556,458670
YKR010C,chrXI,-,458923,461239
YKR011C,chrXI,-,461634,462696
YKR012C,chrXI,-,463738,464116
YKR013W,chrXI,+,463958,464948
YKR014C,chrXI,-,465366,466071
YKR015C,chrXI,-,466960,468667
YKR016W,chrXI,+,469716,471339
YKR017C,chrXI,-,471693,473349
YKR018C,chrXI,-,473722,475900
YKR019C,chrXI,-,476215,478063
YKR020W,chrXI,+,478337,478832
YKR021W,chrXI,+,479233,481981
YKR022C,chrXI,-,482170,483139
YKR023W,chrXI,+,483418,485011
YKR024C,chrXI,-,485143,487372
YKR025W,chrXI,+,487769,488618
YKR026C,chrXI,-,488737,489655
tR(ACG)K,chrXI,+,490967,491040
YKR027W,chrXI,+,491363,493661
YKR028W,chrXI,+,494256,497358
YKR029C,chrXI,-,497577,499833
YKR030W,chrXI,+,500281,501103
YKR031C,chrXI,-,501343,506395
YKR032W,chrXI,+,506516,506831
YKR033C,chrXI,-,506878,507304
YKR034W,chrXI,+,506897,507707
YKR035C,chrXI,-,507919,508561
YKR035W-A,chrXI,+,507938,508553
YKR036C,chrXI,-,508701,510633
YKR037C,chrXI,-,510909,511797
YKR038C,chrXI,-,511998,513159
tD(GUC)K,chrXI,-,513331,513403
YKR039W,chrXI,+,515062,516871
tA(AGC)K2,chrXI,+,517987,518060
YKR040C,chrXI,-,518062,518566
YKR041W,chrXI,+,518197,518950
YKR042W,chrXI,+,519526,520624
YKR043C,chrXI,-,520896,521712
YKR044W,chrXI,+,522014,523346
YKR045C,chrXI,-,523417,523969
YKR046C,chrXI,-,524222,525074
YKR047W,chrXI,+,525256,525562
YKR048C,chrXI,-,525386,526640
YKR049C,chrXI,-,526829,527231
YKR050W,chrXI,+,527814,530484
YKR051W,chrXI,+,530945,532202
YKR052C,chrXI,-,532549,533464
YKR053C,chrXI,-,534066,535281
YKR054C,chrXI,-,535646,547925
YKR055W,chrXI,+,548215,549091
YKR056W,chrXI,+,549447,551367
YKR057W,chrXI,+,551656,552242
YKR058W,chrXI,+,552769,554620
YKR059W,chrXI,+,554986,556174
YKR060W,chrXI,+,556517,557342
YKR061W,chrXI,+,557676,558954
snR42,chrXI,-,559015,559366
YKR062W,chrXI,+,559665,560652
YKR063C,chrXI,-,560788,562297
YKR064W,chrXI,+,562546,565138
YKR065C,chrXI,-,565298,565892
YKR066C,chrXI,-,566112,567198
YKR067W,chrXI,+,567917,570149
YKR068C,chrXI,-,570327,570909
YKR069W,chrXI,+,571611,573393
YKR070W,chrXI,+,573573,574632
YKR071C,chrXI,-,574933,575980
YKR072C,chrXI,-,576434,578123
YKR073C,chrXI,-,578186,578507
tK(UUU)K,chrXI,+,578964,579060
YKR074W,chrXI,+,579208,579676
YKR075C,chrXI,-,579826,580750
YKR075W-A,chrXI,+,580211,580481
YKR076W,chrXI,+,582282,583395
YKR077W,chrXI,+,583652,584744
YKR078W,chrXI,+,584951,586709
YKR079C,chrXI,-,586788,589305
YKR080W,chrXI,+,590394,591357
YKR081C,chrXI,-,591505,592540
YKR082W,chrXI,+,592824,596298
YKR083C,chrXI,-,596420,596822
YKR084C,chrXI,-,597054,598890
YKR085C,chrXI,-,599093,599681
YKR086W,chrXI,+,599856,603072
YKR087C,chrXI,-,603194,604232
YKR088C,chrXI,-,604404,605418
YKR089C,chrXI,-,605632,608365
YKR090W,chrXI,+,608945,611066
YKR091W,chrXI,+,611524,612265
YKR092C,chrXI,-,612664,613885
YKR093W,chrXI,+,615729,617535
YKR094C,chrXI,-,617995,618750
YKR095W,chrXI,+,619804,625432
YKR095W-A,chrXI,+,625863,626205
YKR096W,chrXI,+,626792,630380
YKR097W,chrXI,+,631151,632801
YKR098C,chrXI,-,633025,635179
YKR099W,chrXI,+,635850,638286
YKR100C,chrXI,-,638900,639968
YKR101W,chrXI,+,640539,642504
YKR102W,chrXI,+,646355,649865
YKR103W,chrXI,+,653079,656736
YKR104W,chrXI,+,656835,657756
YKR105C,chrXI,-,658715,660464
YKR106W,chrXI,+,661441,663289
YLL067C,chrXII,-,584,4301
YLL067W-A,chrXII,+,842,1325
YLL066W-B,chrXII,+,5604,5775
YLL066C,chrXII,-,6119,9836
YLL066W-A,chrXII,+,6485,6968
YLL065W,chrXII,+,11725,12076
YLL064C,chrXII,-,13082,13445
YLL063C,chrXII,-,14647,16072
YLL062C,chrXII,-,16638,17613
YLL061W,chrXII,+,17955,19707
YLL060C,chrXII,-,21137,21839
YLL059C,chrXII,-,22473,22980
YLL058W,chrXII,+,23568,25296
YLL057C,chrXII,-,25755,26994
YLL056C,chrXII,-,27408,28305
YLL055W,chrXII,+,30108,31704
YLL054C,chrXII,-,32672,35204
YLL053C,chrXII,-,35502,35961
YLL052C,chrXII,-,35911,36361
YLL051C,chrXII,-,37332,39471
YLL050C,chrXII,-,39803,40414
YLL049W,chrXII,+,40665,41205
YLL048C,chrXII,-,41279,46265
YLL047W,chrXII,+,46671,47055
YLL046C,chrXII,-,46713,47463
YLL045C,chrXII,-,47858,48629
YLL044W,chrXII,+,48215,48662
YLL043W,chrXII,+,49937,51947
YLL042C,chrXII,-,52086,52590
YLL041C,chrXII,-,53130,53931
YLL040C,chrXII,-,54210,63645
YLL039C,chrXII,-,64061,65207
YLL038C,chrXII,-,65774,66518
YLL037W,chrXII,+,66561,66942
YLL036C,chrXII,-,66744,68256
YLL035W,chrXII,+,68579,70478
YLL034C,chrXII,-,70632,73146
YLL033W,chrXII,+,73408,74101
YLL032C,chrXII,-,74269,76747
YLL031C,chrXII,-,77151,80205
YLL030C,chrXII,-,80355,80697
YLL029W,chrXII,+,81460,83710
YLL028W,chrXII,+,84803,86564
YLL027W,chrXII,+,87402,88155
YLL026W,chrXII,+,88622,91349
tP(UGG)L,chrXII,+,92547,92650
YLL025W,chrXII,+,94746,95121
YLL024C,chrXII,-,95565,97485
YLL023C,chrXII,-,97996,98836
YLL022C,chrXII,-,99043,100201
YLL021W,chrXII,+,100946,105347
YLL020C,chrXII,-,105555,105861
YLL019C,chrXII,-,105685,107899
YLL019W-A,chrXII,+,106907,107000
YLL018C-A,chrXII,-,108675,108972
YLL018C,chrXII,-,109901,111575
YLL017W,chrXII,+,112233,112545
YLL016W,chrXII,+,112846,115993
YLL015W,chrXII,+,116431,121111
YLL014W,chrXII,+,121321,121648
YLL013C,chrXII,-,122074,124714
YLL012W,chrXII,+,125533,127255
YLL011W,chrXII,+,127522,128992
YLL010C,chrXII,-,129329,130613
YLL009C,chrXII,-,131204,131414
YLL008W,chrXII,+,131728,133987
YLL007C,chrXII,-,134301,136299
YLL006W-A,chrXII,+,136344,136521
YLL006W,chrXII,+,136585,137866
YLL005C,chrXII,-,137939,140546
YLL004W,chrXII,+,141072,142923
YLL003W,chrXII,+,143200,146041
YLL002W,chrXII,+,146290,147601
YLL001W,chrXII,+,147889,150163
YLR001C,chrXII,-,151388,153977
YLR002C,chrXII,-,154342,156334
YLR003C,chrXII,-,156854,157730
YLR004C,chrXII,-,157933,159505
YLR005W,chrXII,+,160048,161434
YLR006C,chrXII,-,161754,163893
YLR007W,chrXII,+,164391,165402
YLR008C,chrXII,-,165576,166083
YLR009W,chrXII,+,166536,167136
YLR010C,chrXII,-,167319,167802
tS(AGA)L,chrXII,-,167943,168025
YLR011W,chrXII,+,169102,169678
YLR012C,chrXII,-,169981,170281
YLR013W,chrXII,+,171338,171764
YLR014C,chrXII,-,172267,174982
YLR015W,chrXII,+,175226,176744
YLR016C,chrXII,-,176801,177416
YLR017W,chrXII,+,177607,178621
YLR018C,chrXII,-,178706,179606
YLR019W,chrXII,+,180287,181481
YLR020C,chrXII,-,181788,183405
YLR021W,chrXII,+,183622,184162
YLR022C,chrXII,-,184173,184926
YLR023C,chrXII,-,185497,187129
YLR024C,chrXII,-,187662,193281
YLR025W,chrXII,+,194451,195174
YLR026C,chrXII,-,195449,196472
YLR027C,chrXII,-,196828,198085
snR30,chrXII,+,198783,199389
YLR028C,chrXII,-,199539,201315
YLR029C,chrXII,-,201975,202590
YLR030W,chrXII,+,203289,204081
YLR031W,chrXII,+,204224,204785
YLR032W,chrXII,+,204990,208500
YLR033W,chrXII,+,208760,210269
YLR034C,chrXII,-,210511,211933
YLR035C,chrXII,-,212368,214456
tA(UGC)L,chrXII,-,214882,214955
YLR035C-A,chrXII,-,215439,218907
YLR036C,chrXII,-,221520,222132
YLR037C,chrXII,-,222684,223059
YLR038C,chrXII,-,224920,225172
YLR039C,chrXII,-,225425,228596
YLR040C,chrXII,-,228907,229582
YLR041W,chrXII,+,229376,229697
YLR042C,chrXII,-,229965,230451
YLR043C,chrXII,-,231701,232013
YLR044C,chrXII,-,232389,234081
YLR045C,chrXII,-,235036,237703
YLR046C,chrXII,-,238000,238813
YLR047C,chrXII,-,239346,241407
YLR048W,chrXII,+,242231,243349
YLR049C,chrXII,-,243885,245172
YLR050C,chrXII,-,245586,246072
YLR051C,chrXII,-,246323,246977
YLR052W,chrXII,+,247200,247953
YLR053C,chrXII,-,248099,248426
YLR054C,chrXII,-,248716,250978
YLR055C,chrXII,-,251271,253080
YLR056W,chrXII,+,253860,254958
YLR057W,chrXII,+,255305,257855
YLR058C,chrXII,-,257991,259401
YLR059C,chrXII,-,259737,260547
YLR060W,chrXII,+,260978,262766
YLR061W,chrXII,+,263193,263948
YLR062C,chrXII,-,263576,263954
YLR063W,chrXII,+,264156,265254
YLR064W,chrXII,+,265455,266277
YLR065C,chrXII,-,266372,266918
YLR066W,chrXII,+,267168,267723
YLR067C,chrXII,-,267812,270710
YLR068W,chrXII,+,271007,271463
YLR069C,chrXII,-,271629,273915
YLR070C,chrXII,-,274140,275211
YLR071C,chrXII,-,275377,278626
YLR072W,chrXII,+,278861,280943
YLR073C,chrXII,-,281018,281621
YLR074C,chrXII,-,281955,282456
YLR075W,chrXII,+,282926,283592
YLR076C,chrXII,-,283184,283607
YLR077W,chrXII,+,283871,285623
YLR078C,chrXII,-,285735,286559
YLR079W,chrXII,+,286819,287674
YLR080W,chrXII,+,287915,289250
YLR081W,chrXII,+,290211,291936
YLR082C,chrXII,-,292393,293572
YLR083C,chrXII,-,294090,296094
YLR084C,chrXII,-,296588,300251
YLR085C,chrXII,-,300672,301989
YLR086W,chrXII,+,302242,306499
YLR087C,chrXII,-,306854,315731
YLR088W,chrXII,+,316106,317951
YLR089C,chrXII,-,318236,320015
YLR090W,chrXII,+,320700,322080
YLR091W,chrXII,+,322296,323178
YLR092W,chrXII,+,323543,326225
YLR093C,chrXII,-,326512,327415
YLR094C,chrXII,-,327729,329238
YLR095C,chrXII,-,329676,332115
YLR096W,chrXII,+,332589,336033
YLR097C,chrXII,-,336230,337265
YLR098C,chrXII,-,337526,339473
YLR099C,chrXII,-,339743,340928
YLR099W-A,chrXII,+,341324,341588
YLR100W,chrXII,+,341809,342853
YLR101C,chrXII,-,342565,342961
YLR102C,chrXII,-,342969,343767
YLR103C,chrXII,-,343988,345941
YLR104W,chrXII,+,346584,346980
